abv_max,abv_min,abw_max,abw_min,category,description,ebc_max,ebc_min,fg_max,fg_min,fg_plato_max,fg_plato_min,ibu_max,ibu_min,id,name,og_max,og_min,og_plato_max,og_plato_min,origin,srm_max,srm_min,year
4,3.2,3.2,2.7,Ale,"English-style dark mild ales range from reddish brown to very dark in color. Malt flavor and caramel are part of the flavor and aroma profile while, licorice and roast malt tones may sometimes contribute to the flavor and aroma profile. Hop bitterness is very low to low. These beers may have very low hop flavor and aroma Body is low-medium to medium. Very low diacetyl flavors may be appropriate in this low-alcohol beer. Fruity-ester level is very low to medium low.",68,34,1.008,1.004,2,1,24,10,11,"English-Style Dark Mild Ale",1.036,1.03,9,7.5,British,34,17,2013
5.5,4,4.7,3.3,Ale,"English-style brown ales range from copper to very dark in color. Chill haze is allowable at cold temperatures. They range from dry to sweet maltiness. Roast malt tones may sometimes contribute to the flavor and aroma profile. Hop bitterness is very low to low while having very little hop flavor and aroma. They have medium body. Low to medium-low levels of fruity-ester flavors are appropriate. Diacetyl should be very low, if evident.",50,24,1.014,1.008,3.5,2,25,15,12,"English-Style Brown Ale",1.05,1.04,12.5,10,British,25,12,2013
9,6,7.2,5,Ale,"Old Ales are copper-red to very dark in color. Chill haze is acceptable at low temperatures. They have a malty and sometimes caramel-like sweetness. Hop bitterness should be minimal but evident. Hop aroma should be very low with hop flavor varying from none to medium in intensity. Old ales are medium to full bodied Fruity-ester flavors and aromas can contribute to the character of this ale. Alcohol types can be varied and complex. A distinctive quality of these ales is that they undergo an aging process (often for years) on their yeast either in bulk storage or through conditioning in the bottle, which contributes to a rich, wine-like and often sweet oxidation character. Complex estery characters may also emerge. Some very low diacetyl character may be evident and acceptable. Wood aged characters such as vanillin and other woody characters are acceptable. Horsey, goaty, leathery and phenolic character evolved from Brettanomyces organisms and acidity may be present but should be at low levels and balanced with other flavors Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. (This style may often be split into two categories, strong and very strong. Brettanomyces organisms and acidic characters reflect historical character. Competition organizers may choose to distinguish these types of old ale from modern versions.)",60,24,1.03,1.014,7.5,3.5,65,30,13,"Old Ale",1.088,1.058,21,14.3,British,30,12,2013
11,7,8.9,5.5,Ale,"Strong Ales are amber to dark brown in color. Chill haze is acceptable at low temperatures. They have a malty sweetness and may have low levels of roast malt Hop bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Hop aroma should be minimal and flavor can vary from none to medium intensity. Strong ales are medium to full bodied. Fruity-ester flavors and aromas can contribute to the character of this ale as a rich, often sweet and complex estery character. Alcohol types can be varied and complex. Very low levels of diacetyl are acceptable. (This style may often be split into two categories, strong and very strong.)",42,16,1.04,1.014,10,3.5,65,30,14,"Strong Ale",1.125,1.06,31.5,15,British,21,8,2013
8,6.2,6.7,5.2,Ale,"Scotch ale ranges from light-reddish brown to very dark in color. Chill haze is allowable at cold temperatures. They are overwhelmingly malty with a rich and dominant sweet malt flavor and aroma. A caramel character is often a part of the profile. Dark roasted malt flavors and aroma may be evident at low levels. Though there is little evidence suggesting that traditionally made strong Scotch ales exhibited peat smoke character, the current marketplace offers many Scotch ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low levels (ales with medium or higher smoke character would be considered a smoke flavored beer and considered in another category). Perception of hop bitterness is very low. Hop flavor and aroma are very low or nonexistent. They are full-bodied beers. If present, fruity esters are generally at very low aromatic and flavor levels. Low diacetyl levels are acceptable. Scotch Ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",60,30,1.028,1.016,7,4,35,25,15,"Scotch Ale",1.085,1.072,20.5,17.5,British,30,15,2013
12,7,9.5,5.5,Ale,"British-style Imperial Stouts are dark copper to very dark. The extremely rich malty flavor (often characterized as toffee-like or caramel-like) is sometimes accompanied by very low (sometimes absent) roasted malt astringency and high fruity-ester characteristics. Hop bitterness should be at medium levels and should not overwhelm the overall character. The bitterness may be higher in the darker versions yet balanced with sweet malt Hop aromas such as floral, -citrus or -herbal can be very low to medium -Diacetyl (butterscotch) levels should be absent. High alcohol content is evident.",40,40,1.03,1.02,7.5,4,65,45,16,"British-Style Imperial Stout",1.1,1.08,23,19.5,British,20,20,2013
12,8.4,9.6,6.7,Ale,"British-style barley wines range from tawny copper to dark brown in color. Chill haze is allowable at cold temperatures. They have a full body and a high residual malty sweetness. Perception of hop bitterness is low to medium. English type hops are often used but not necessary for this style. Hop aroma and flavor may be very low to medium. Complexity of alcohols and fruity-ester characters are often high and balanced with the high alcohol content. Low levels of diacetyl may be acceptable. Caramel and some characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, may be considered positive.",44,28,1.028,1.024,7,6,60,40,17,"British-Style Barley Wine Ale",1.12,1.085,28,20.4,British,22,14,2013
6,4.5,4.7,3.5,Ale,"Brown porters are dark brown (may have red tint) to very dark in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable. Hop bitterness is medium. Hop flavor and aroma may vary from being negligible to medium in character. This is a light- to medium-bodied beer. Fruity esters are acceptable.",70,40,1.014,1.006,3.5,1.5,30,20,18,"Brown Porter",1.05,1.04,12.5,10,British,35,20,2013
6.5,5,5.2,4,Ale,"Robust porters are very dark to black in color. They have a roast malt flavor, often reminiscent of cocoa, but no roast barley flavor. Their caramel and other malty sweetness are in harmony with a sharp bitterness of black malt without a highly burnt/charcoal flavor. Hop bitterness is medium to high, with hop aroma and flavor ranging from very low to medium. Robust porters range from medium to full in body. Diacetyl is acceptable at very low levels. Fruity esters should be evident, balanced with all other characters.",60,60,1.016,1.008,4,2,40,25,19,"Robust Porter",1.06,1.045,14.7,11,British,30,30,2013
6,3,5,2.5,Ale,"Sweet stout, also referred to as cream stout, is black in color. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. They also should have a low to medium-low roasted malt/barley derived bitterness. The style can be given more body with milk sugar (lactose) before bottling. Hop bitterness is perceived as low to medium low and serve to balance and suppress some of the sweetness without contributing apparent flavor or aroma. There is no hop flavor or aroma infused into this style of beer. The overall impression should be sweet and full-bodied. Fruity esters are low.",80,80,1.02,1.012,5,3,25,15,20,"Sweet Stout or Cream Stout",1.056,1.045,14,11,British,40,40,2013
6,3.8,4.8,3,Ale,"Oatmeal stouts are dark brown to black in color. A roasted malt character which is caramel-like and chocolate-like should be evident â€” smooth and not bitter. Coffee-like roasted barley androasted malt aromas (chocolate and nut-like) are prominent. Hop bitterness is perceived as medium. Hop flavor and aroma are optional but should not overpower the overall balance if present. Oatmeal is used in their grist, resulting in a pleasant, full flavor, a smooth full bodied beer that is rich without being grainy. Fruity esters are very low. Diacetyl should be absent or at extremely low levels.",40,40,1.02,1.008,5,2,40,20,21,"Oatmeal Stout",1.056,1.038,14,9.5,British,20,20,2013
4.5,4,3.6,3.2,Ale,"Irish-style red ales range from copper red to reddish brown in color. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products. Irish-style red ales have low to medium candy-like caramel malt sweetness and may have a balanced subtle degree of roast barley or roast malt character and complexity. These ales have a medium hop bitterness and flavor. Hop aroma can range from none to low levels. Irish-style red ales have a medium body. The style may have low levels of fruity-ester flavor and aroma. Diacetyl should be absent or at very low levels",36,22,1.014,1.01,3.5,2.5,28,20,22,"Irish-Style Red Ale",1.048,1.04,12,10,Irish,18,11,2013
5,3.8,4.2,3.2,Ale,"Dry stouts are black. They have an initial malt and light caramel flavor profile with a distinctive dry-roasted bitterness in the finish. Dry stouts achieve a dry-roasted character through the use of roasted barley. The emphasis of coffee-like roasted barley and a moderate degree of roasted malt aromas define much of the character. Hop bitterness is perceived as medium to medium high. European hop aroma and flavor should be low or not perceived. Dry stouts have medium-light to medium body. Fruity esters are minimal and overshadowed by malt, high hop bitterness, and roasted barley character. Diacetyl (butterscotch) should be very low or not perceived. Some slight acidity may be perceived but is not necessary. Head retention and rich character should be part of its visual character.",80,80,1.012,1.008,3,2,40,30,23,"Classic Irish-Style Dry Stout",1.048,1.038,12,9.5,Irish,40,40,2013
9.3,5.7,7.5,4.5,Ale,"Foreign-style stouts are black in color. They have an initial malt sweetness and caramel flavor with a distinctive dry-roasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Hop bitterness may be analytically high but the perception is often compromised by malt sweetness. Hop aroma and flavor should not be perceived. The perception of fruity esters is low. Diacetyl (butterscotch) should be negligible or not perceived. A medium- to full-bodied mouthfeel is appropriate. Some slight acidity is permissible Head retention is excellent.",80,80,1.02,1.008,5,2,60,30,24,"Foreign (Export)-Style Stout",1.072,1.052,17.5,13,Irish,40,40,2013
5.6,4.5,4.3,3.5,Ale,"American-style pale ales range from deep golden to copper or light brown in color. Chill haze is allowable at cold temperatures. Low caramel malt character is allowable. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the â€œtraditionalâ€ style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American-style pale ales have medium body and low to medium maltiness. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels.",28,12,1.014,1.008,3.5,2,50,30,25,"American-Style Pale Ale",1.05,1.044,12.5,11,"North American",14,6,2013
0,0,0,0,Ale,"Any style of ale can be made into a fresh hop or wet hop version. These ales are hopped predominantly with fresh (newly harvested and kilned) and/or undried (â€œwetâ€) hops. These beers will exhibit especially aromas and flavors of green, almost chlorophyll-like or other fresh hop characters, in harmony with the characters of the base style of the beer. These beers may be aged and enjoyed after the initial â€œfresh-hopâ€ character diminishes. Unique character from â€œagedâ€ fresh hop beers may emerge, but they have yet to be defined. The manner in which fresh â€œwetâ€ hops are used should be identified by the brewer. To allow for accurate judging the brewer must identify a classic, hybrid/mixed or experimental beer style being elaborated upon. Beer entries not accompanied by this information will be at a disadvantage during judging.",0,0,0,0,0,0,0,0,26,"Fresh â€œWetâ€ Hop Ale",0,0,0,0,"North American",0,0,2013
0,0,0,0,Ale,"Pale styles of this beer are gold to light brown in color. Chill haze may be evident. They are either 1) non-Belgian beer types portraying the unique characters imparted by yeasts typically used in fruity and big Belgian-Style ales or are 2) defined Belgian-style beers portraying the unique character of American hops. â€“ These beers are unique beers unto themselves. Yeast derived characters such as banana, berry, apple, sometimes coriander spice-like and/or smoky-phenolic characters should be portrayed with balance of hops and malt character when fermented with such yeast. American hop aroma, flavor and bitterness not usually found in traditional Belgian-styles will have a medium to very high aroma, flavor and bitterness character. Color falls in the blonde to amber range. Esters should be at medium to high levels. Diacetyl should not be evident. Sulfur-like yeast character should be absent. No Brettanomyces character should be present. An ale which exhibits Brettanomyces character would be classified as â€œAmerican-style Brett Ale."" A statement by the brewer that could include information such as style being elaborated upon, and other information about the entry with regard to flavor, aroma or appearance, is essential for fair assessment in competitions. Beers with Brettanomyces may be subcategorized under this category.",30,10,0,0,0,0,0,0,27,"Pale American-Belgo-Style Ale",0,0,0,0,"North American",15,5,2013
0,0,0,0,Ale,"Dark styles of this beer are brown to black in color. Chill haze may be evident. Roasted malts or barley may have a range of character from subtle to robust, and should be reflected in the overall character and balance of the beer. They are either 1) non- Belgian beer types portraying the unique characters imparted by yeasts typically used in fruity and big Belgian-Style ales or are 2) defined Belgian-style beers portraying the unique character of American hops. â€“ These beers are unique beers unto themselves. Yeast derived characters such as banana, berry, apple, sometimes coriander spice-like and/or smoky-phenolic characters should be portrayed with balance of hops and malt character when fermented with such yeast. American hop aroma, flavor and bitterness not usually found in traditional Belgian-styles will have a medium to very high aroma, flavor and bitterness character. Esters should be at medium to high levels. Diacetyl should not be evident. Sulfur-like yeast character should be absent. No Brettanomyces character should be present. An ale which exhibits Brettanomyces character would be classified as â€œAmerican-style Brett Ale."" A statement by the brewer that could include information such as style being elaborated upon, and other information about the entry with regard to flavor, aroma or appearance, is essential for fair assessment in competitions. Beers with Brettanomyces may be subcategorized under this category",32,32,0,0,0,0,0,0,28,"Dark American-Belgo-Style Ale",0,0,0,0,"North American",16,16,2013
6.3,5.5,5,4.4,Ale,"American-style strong pale ales range from deep golden to copper in color. Chill haze is allowable at cold temperatures. American-style strong pale ales have low to medium maltiness. Low caramel character is allowable. The style is characterized by floral and citrus-like American-variety hops used to produce high hop bitterness, flavor, and aroma. Note that floral, fruity, citrus- like, piney, resinous, or sulfur-like American-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. American-style strong pale ales have medium body Fruity-ester flavor and aroma can be moderate to strong. Diacetyl should be absent or present at very low levels.",28,12,1.016,1.008,4,2,50,40,29,"American-Style Strong Pale Ale",1.06,1.05,14.7,12.5,"North American",14,6,2013
7.5,6.3,6,5,Ale,"American-style India pale ales range from gold to copper or red/brown in color. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. American-style India pale ales possess medium maltiness which contributes to a medium body. These beers are perceived to have medium-high to very high hop bitterness, a full flowery hop aroma and a strong hop flavor. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. They are medium bodied. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. The use of water with high mineral content results in a crisp, dry beer. English and citrus-like American hops are considered enough of a distinction justifying separate American- style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",28,12,1.018,1.012,4.5,3,70,50,30,"American-Style India Pale Ale",1.075,1.06,18.2,14.7,"North American",14,6,2013
10.5,7.5,8.4,6,Ale,"Imperial or double India pale ales range from gold to chestnut red/brown in color. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Imperial or Double India Pale Ales have medium to high malt character. Hop character reflects very high hop bitterness, flavor and aroma. Hop character should be fresh and lively and should not be harsh in quality. The style may use any variety of hops. Alcohol content ismedium-high to high and notably evident. These beers have a high level of fruity esters. Imperial or double India pale ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",32,10,1.02,1.012,5,3,100,65,31,"Imperial or Double India Pale Ale",1.1,1.075,23.7,18.2,"North American",16,5,2013
6,4.5,4.8,3.5,Ale,"American-style amber/red ales range from copper to reddish brown in color. Chill haze is allowable at cold temperatures. American-style amber/red ales have medium-high to high maltiness with medium to low caramel character. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and aroma. They should have medium to medium-high body. The style may have low levels of fruity-ester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels.",36,22,1.018,1.012,4.5,3,40,30,32,"American-Style Amber/Red Ale",1.058,1.048,14.5,12,"North American",18,11,2013
10.5,7.9,8.4,6.3,Ale,"Imperial or double red ales range from deep amber to dark copper/reddish brown in color and may exhibit a small amount of chill haze at cold temperatures. These beers have medium to high caramel malt character. Imperial or double red ales have intense hop bitterness, flavor and aroma. The style may use any variety of hops. Though the hop character is intense itâ€™s balanced with all other beer characters. Alcohol content is also very high and of notable character. Complex alcohol flavors may be evident and complex. Fruity esters are at a medium level. Imperial or Double Red Ales have a full body. Diacetyl should not be perceived.",30,20,1.028,1.02,7,5,85,55,33,"Imperial or Double Red Ale",1.1,1.08,23.7,19.3,"North American",17,10,2013
12,8.4,9.6,6.7,Ale,"American-style barley wine ales range from amber to deep red/copper-garnet in color. Chill haze is allowable at cold temperatures. A caramel and/or toffee aroma and flavor are often part of the malt character and high residual malty sweetness. Hop bitterness is high. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Complexity of alcohols is evident. Fruity-ester characters are often high. Very low levels of diacetyl may be acceptable. This is a full bodied beer. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style barley6
wine ales, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably.",44,22,1.028,1.024,7,6,100,60,34,"American-Style Barley Wine Ale",1.12,1.09,28,21.6,"North American",22,11,2013
12,8.4,9.6,6.7,Ale,"American-style wheat wine ales are gold to light brown in color. Chill haze is allowable. They are brewed with 50% or more wheat malt. They have high residual malty sweetness. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the malt character. Perception of hop bitterness is medium to medium -high. Hop aroma and flavor are at low to medium levels. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Very low levels of diacetyl may be acceptable. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. These are full bodied beers.",30,10,1.032,1.024,8,6,85,45,35,"American-Style Wheat Wine Ale",1.12,1.088,28,21,"North American",15,5,2013
5,4,4,3.2,Ale,"Golden or blonde ales are straw to light amber in color. Chill haze should be absent. They have a light malt sweetness. Body is crisp with a light to medium body. Hop bitterness is low to medium. Low to medium-low hop aroma and flavor may be present but does not dominate. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived.",14,6,1.016,1.008,4,2,25,15,36,"Golden or Blonde Ale",1.056,1.045,13.8,11,"North American",7,3,2013
6.4,4,5,3.3,Ale,"American-style brown ales range from deep copper to very dark brown in color. Chill haze is allowable at cold temperatures. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American-style brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness. Body is medium. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived.",52,30,1.018,1.01,4.5,2.5,45,25,37,"American-Style Brown Ale",1.06,1.04,14.7,10,"North American",26,15,2013
8.7,5,7,4,Ale,"Smoke porters are dark brown to black in color. Black malt7character can be perceived in some porters, while others may be absent of strong roast character. Roast barley character should be absent. Medium to high malt sweetness, caramel and chocolate are acceptable They will exhibit a mild to assertive smoke malt character in balance with other beer characters. Hop bitterness is medium to medium-high. Hop flavor and aroma may vary from being none to medium in character. These beers are medium to full bodied. Fruity esters are acceptable.",40,40,1.014,1.006,3.5,1.5,40,20,38,"Smoke Porter",1.05,1.04,12.5,10,"North American",20,20,2013
0,0,0,0,Ale,"American-style brett ales or lagers can be very light to black or take on the color of added fruits or other ingredients. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American-style brett beers may have evident full range of hop aroma and hop bitterness with a full range of body. Wood- and barrel- aged sour ales are classified elsewhere. The evolution of natural acidity develops balanced complexity. Horsey, goaty, leathery, phenolic and light to moderate and/or fruity acidic character evolved from Brettanomyces organisms may be evident, not dominant and in balance with other character. Acidity may also be contributed to by bacteria, but may or may not dominate. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-style brett beers will exhibit fruit flavors in harmonious balance with other characters.",0,0,0,0,0,0,0,0,39,"American-Style Brett Beer",0,0,0,0,"North American",0,0,2013
